Company,Product ID,Product,Variation,url,DIV,Intro rate,Intro rate term,Intro rate type,Comparison Rate,Fixed loan revert rate,Application fee,Legal fee,Valuation fee,Settlement fee,Other upfront fee (% of loan),Service fee,Service Term,Discharge fee,Minimum loan amount,Maximum loan amount,Minimum LVR,Maximum LVR,Availability,Repayment Type,Repayment Frequency,Extra repayments,Repayment holidays,Redraw facility,Minimum redraw amount,Split account,Offset account,Other restrictions,Other benefits,Interest Rate,Term,Variation ID
Adelaide Bank,17,SmartSaver,SmartSaver (LVR<90% Owner Occupier Principal & Interest),https://mozo.com.au/home-loans/information/adelaide-bank/SmartSaver/4923,fragment product_id_17 clearfix,n/a,0 Months,none,4.08%,n/a,$375.00,$0.00,$0.00,$120.00,none,$0.00,,$325.00,"$10,000","$5,000,000",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free,no,yes,$500.00,yes,no,none,none,4.04%,N/A,N/A
Adelaide Bank,1762,SmartSaver,SmartSaver (LVR>90% Owner Occupier Principal & Interest),https://mozo.com.au/home-loans/information/adelaide-bank/SmartSaver/4923,fragment product_id_1762 clearfix,n/a,0 Months,none,4.43%,n/a,$375.00,$0.00,$0.00,$120.00,none,$0.00,,$325.00,"$10,000","$5,000,000",90.00%,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free,no,yes,$500.00,yes,no,none,none,4.39%,N/A,N/A
Adelaide Bank,4452,SmartSaver,SmartSaver (LVR<70% Owner Occupier Interest Only),https://mozo.com.au/home-loans/information/adelaide-bank/SmartSaver/4923,fragment product_id_4452 clearfix,n/a,0 Months,none,4.53%,n/a,$375.00,$0.00,$0.00,$120.00,none,$0.00,,$325.00,"$10,000","$5,000,000",none,70.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free,no,yes,$500.00,yes,no,none,none,4.49%,N/A,N/A
Adelaide Bank,2492,SmartSaver,SmartSaver (LVR<80% Investment Principal & Interest),https://mozo.com.au/home-loans/information/adelaide-bank/SmartSaver/4923,fragment product_id_2492 clearfix,n/a,0 Months,none,4.78%,n/a,$375.00,$0.00,$0.00,$120.00,none,$0.00,,$325.00,"$10,000","$5,000,000",none,90.00%,Investor,Principal & Interest,Weekly Fortnightly Monthly,yes - free,no,yes,$500.00,yes,no,none,none,4.74%,N/A,N/A
Adelaide Bank,4454,SmartSaver,SmartSaver (LVR<70% Investment Interest Only),https://mozo.com.au/home-loans/information/adelaide-bank/SmartSaver/4923,fragment product_id_4454 clearfix,n/a,0 Months,none,5.03%,n/a,$375.00,$0.00,$0.00,$120.00,none,$0.00,,$325.00,"$10,000","$5,000,000",none,70.00%,Investor,Interest Only,Weekly Fortnightly Monthly,yes - free,no,yes,$500.00,yes,no,none,none,4.99%,N/A,N/A
Adelaide Bank,1387,SmartFit,SmartFit (LVR<90% Owner Occupier Principal & Interest),https://mozo.com.au/home-loans/information/adelaide-bank/SmartFit/4922,fragment product_id_1387 clearfix,n/a,0 Months,none,4.31%,n/a,$375.00,$0.00,$0.00,$120.00,none,$15.00,monthly,$325.00,"$10,000","$5,000,000",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free,no,yes,$500.00,yes,yes,none,none,4.09%,N/A,N/A
Adelaide Bank,4449,SmartFit,SmartFit (LVR<70% Owner Occupier Interest Only),https://mozo.com.au/home-loans/information/adelaide-bank/SmartFit/4922,fragment product_id_4449 clearfix,n/a,0 Months,none,4.75%,n/a,$375.00,$0.00,$0.00,$120.00,none,$15.00,monthly,$325.00,"$10,000","$5,000,000",none,70.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free,no,yes,$500.00,yes,yes,none,none,4.54%,N/A,N/A
Adelaide Bank,1761,SmartFit,SmartFit (LVR>90% Owner Occupier Principal & Interest),https://mozo.com.au/home-loans/information/adelaide-bank/SmartFit/4922,fragment product_id_1761 clearfix,n/a,0 Months,none,4.70%,n/a,$375.00,$0.00,$0.00,$120.00,none,$15.00,monthly,$325.00,"$10,000","$5,000,000",90.00%,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free,no,yes,$500.00,yes,yes,none,none,4.49%,N/A,N/A
Adelaide Bank,2490,SmartFit,SmartFit (LVR<80% Investment Principal & Interest),https://mozo.com.au/home-loans/information/adelaide-bank/SmartFit/4922,fragment product_id_2490 clearfix,n/a,0 Months,none,5.00%,n/a,$375.00,$0.00,$0.00,$120.00,none,$15.00,monthly,$325.00,"$10,000","$5,000,000",none,90.00%,Investor,Principal & Interest,Weekly Fortnightly Monthly,yes - free,no,yes,$500.00,yes,yes,none,none,4.79%,N/A,N/A
Adelaide Bank,4451,SmartFit,SmartFit (LVR<70% Investment Interest Only),https://mozo.com.au/home-loans/information/adelaide-bank/SmartFit/4922,fragment product_id_4451 clearfix,n/a,0 Months,none,5.25%,n/a,$375.00,$0.00,$0.00,$120.00,none,$15.00,monthly,$325.00,"$10,000","$5,000,000",none,70.00%,Investor,Interest Only,Weekly Fortnightly Monthly,yes - free,no,yes,$500.00,yes,yes,none,none,5.04%,N/A,N/A
AMP,74,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_74 clearfix,,0 Months,none,4.65%,4.29%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$100,000","$249,999",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.25%,Fixed 1 year rate,74 Fixed 1 year rate
AMP,74,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_74 clearfix,,0 Months,none,4.66%,4.29%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$100,000","$249,999",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.33%,Fixed 2 year rate,74 Fixed 2 year rate
AMP,74,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_74 clearfix,,0 Months,none,4.57%,4.29%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$100,000","$249,999",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,3.99%,Fixed 3 year rate,74 Fixed 3 year rate
AMP,74,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_74 clearfix,,0 Months,none,4.92%,4.29%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$100,000","$249,999",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.93%,Fixed 5 year rate,74 Fixed 5 year rate
AMP,5204,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_5204 clearfix,,0 Months,none,4.03%,3.59%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$250,000","$499,999",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.25%,Fixed 1 year rate,5204 Fixed 1 year rate
AMP,5204,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_5204 clearfix,,0 Months,none,4.10%,3.59%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$250,000","$499,999",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.33%,Fixed 2 year rate,5204 Fixed 2 year rate
AMP,5204,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_5204 clearfix,,0 Months,none,4.07%,3.59%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$250,000","$499,999",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,3.99%,Fixed 3 year rate,5204 Fixed 3 year rate
AMP,5204,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_5204 clearfix,,0 Months,none,4.52%,3.59%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$250,000","$499,999",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.93%,Fixed 5 year rate,5204 Fixed 5 year rate
AMP,4195,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4195 clearfix,,0 Months,none,4.03%,3.59%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$500,000","$749,999",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.25%,Fixed 1 year rate,4195 Fixed 1 year rate
AMP,4195,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4195 clearfix,,0 Months,none,4.10%,3.59%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$500,000","$749,999",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.33%,Fixed 2 year rate,4195 Fixed 2 year rate
AMP,4195,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4195 clearfix,,0 Months,none,4.07%,3.59%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$500,000","$749,999",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,3.99%,Fixed 3 year rate,4195 Fixed 3 year rate
AMP,4195,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4195 clearfix,,0 Months,none,4.52%,3.59%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$500,000","$749,999",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.93%,Fixed 5 year rate,4195 Fixed 5 year rate
AMP,4196,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4196 clearfix,,0 Months,none,4.03%,3.59%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$750,000","$2,000,000",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.25%,Fixed 1 year rate,4196 Fixed 1 year rate
AMP,4196,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4196 clearfix,,0 Months,none,4.10%,3.59%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$750,000","$2,000,000",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.33%,Fixed 2 year rate,4196 Fixed 2 year rate
AMP,4196,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4196 clearfix,,0 Months,none,4.07%,3.59%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$750,000","$2,000,000",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,3.99%,Fixed 3 year rate,4196 Fixed 3 year rate
AMP,4196,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4196 clearfix,,0 Months,none,4.52%,3.59%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$750,000","$2,000,000",none,90.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.93%,Fixed 5 year rate,4196 Fixed 5 year rate
AMP,2944,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Investment Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_2944 clearfix,,0 Months,none,5.38%,5.07%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$100,000","$249,999",none,80.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.64%,Fixed 1 year rate,2944 Fixed 1 year rate
AMP,2944,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Investment Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_2944 clearfix,,0 Months,none,5.33%,5.07%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$100,000","$249,999",none,80.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.57%,Fixed 2 year rate,2944 Fixed 2 year rate
AMP,2944,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Investment Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_2944 clearfix,,0 Months,none,5.37%,5.07%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$100,000","$249,999",none,80.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.87%,Fixed 3 year rate,2944 Fixed 3 year rate
AMP,2944,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Investment Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_2944 clearfix,,0 Months,none,5.47%,5.07%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$100,000","$249,999",none,80.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,5.18%,Fixed 5 year rate,2944 Fixed 5 year rate
AMP,4198,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Investment Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4198 clearfix,,0 Months,none,4.77%,4.38%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$250,000","$749,999",none,80.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.64%,Fixed 1 year rate,4198 Fixed 1 year rate
AMP,4198,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Investment Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4198 clearfix,,0 Months,none,4.78%,4.38%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$250,000","$749,999",none,80.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.57%,Fixed 2 year rate,4198 Fixed 2 year rate
AMP,4198,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Investment Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4198 clearfix,,0 Months,none,4.87%,4.38%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$250,000","$749,999",none,80.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.87%,Fixed 3 year rate,4198 Fixed 3 year rate
AMP,4198,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Investment Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4198 clearfix,,0 Months,none,5.08%,4.38%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$250,000","$749,999",none,80.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,5.18%,Fixed 5 year rate,4198 Fixed 5 year rate
AMP,4197,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Investment Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4197 clearfix,,0 Months,none,4.77%,4.38%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$750,000","$2,000,000",none,80.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.64%,Fixed 1 year rate,4197 Fixed 1 year rate
AMP,4197,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Investment Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4197 clearfix,,0 Months,none,4.78%,4.38%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$750,000","$2,000,000",none,80.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.57%,Fixed 2 year rate,4197 Fixed 2 year rate
AMP,4197,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Investment Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4197 clearfix,,0 Months,none,4.87%,4.38%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$750,000","$2,000,000",none,80.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.87%,Fixed 3 year rate,4197 Fixed 3 year rate
AMP,4197,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Investment Principal & Interest) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4197 clearfix,,0 Months,none,5.08%,4.38%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$750,000","$2,000,000",none,80.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,5.18%,Fixed 5 year rate,4197 Fixed 5 year rate
AMP,4184,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Interest Only) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4184 clearfix,,0 Months,none,5.41%,5.11%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$100,000","$249,999",none,80.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.55%,Fixed 1 year rate,4184 Fixed 1 year rate
AMP,4184,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Interest Only) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4184 clearfix,,0 Months,none,5.37%,5.11%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$100,000","$249,999",none,80.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.63%,Fixed 2 year rate,4184 Fixed 2 year rate
AMP,4184,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Interest Only) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4184 clearfix,,0 Months,none,5.37%,5.11%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$100,000","$249,999",none,80.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.79%,Fixed 3 year rate,4184 Fixed 3 year rate
AMP,4184,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Interest Only) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4184 clearfix,,0 Months,none,5.51%,5.11%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$100,000","$249,999",none,80.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,5.23%,Fixed 5 year rate,4184 Fixed 5 year rate
AMP,4199,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Interest Only) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4199 clearfix,,0 Months,none,4.85%,4.48%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$250,000","$749,999",none,80.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.55%,Fixed 1 year rate,4199 Fixed 1 year rate
AMP,4199,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Interest Only) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4199 clearfix,,0 Months,none,4.87%,4.48%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$250,000","$749,999",none,80.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.63%,Fixed 2 year rate,4199 Fixed 2 year rate
AMP,4199,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Interest Only) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4199 clearfix,,0 Months,none,4.92%,4.48%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$250,000","$749,999",none,80.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.79%,Fixed 3 year rate,4199 Fixed 3 year rate
AMP,4199,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Interest Only) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4199 clearfix,,0 Months,none,5.15%,4.48%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$250,000","$749,999",none,80.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,5.23%,Fixed 5 year rate,4199 Fixed 5 year rate
AMP,4200,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Interest Only) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4200 clearfix,,0 Months,none,4.72%,4.34%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$750,000","$2,000,000",none,80.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.55%,Fixed 1 year rate,4200 Fixed 1 year rate
AMP,4200,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Interest Only) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4200 clearfix,,0 Months,none,4.76%,4.34%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$750,000","$2,000,000",none,80.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.63%,Fixed 2 year rate,4200 Fixed 2 year rate
AMP,4200,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Interest Only) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4200 clearfix,,0 Months,none,4.82%,4.34%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$750,000","$2,000,000",none,80.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.79%,Fixed 3 year rate,4200 Fixed 3 year rate
AMP,4200,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Owner Occupier Interest Only) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4200 clearfix,,0 Months,none,5.07%,4.34%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$750,000","$2,000,000",none,80.00%,Owner Occupier,Interest Only,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,5.23%,Fixed 5 year rate,4200 Fixed 5 year rate
AMP,4185,Fixed Rate Loan (Professional Package),Fixed Rate Loan (Investment Interest Only) (Professional Package),https://mozo.com.au/home-loans/information/amp/Fixed-Rate-Loan-Professional-Package/3411,fragment product_id_4185 clearfix,,0 Months,none,5.44%,5.12%,$0.00,$295.00,$0.00,$0.00,none,$349.00,yearly,$100.00,"$100,000","$249,999",none,80.00%,Investment,Interest Only,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,none,no,none,yes,no,none,none,4.84%,Fixed 1 year rate,4185 Fixed 1 year rate
